transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,transaction_date,sales_rep
TXN001,1001,P001,Wireless Headphones,Electronics,2,99.99,199.98,2024-01-15,Alice Johnson
TXN002,1002,P002,Running Shoes,Footwear,1,129.99,129.99,2024-01-16,Bob Smith
TXN003,1003,P003,Coffee Maker,Appliances,1,79.95,79.95,2024-01-17,Carol Davis
TXN004,1001,P004,Smartphone Case,Electronics,3,24.99,74.97,2024-01-18,Alice Johnson
TXN005,1004,P005,Yoga Mat,Fitness,1,45.00,45.00,2024-01-19,David Wilson
TXN006,1005,P001,Wireless Headphones,Electronics,1,99.99,99.99,2024-01-20,Alice Johnson
TXN007,1006,P006,Water Bottle,Sports,2,19.99,39.98,2024-01-21,Eve Brown
TXN008,1007,P007,Laptop Stand,Office,1,89.50,89.50,2024-01-22,Frank Miller
TXN009,1008,P008,Book Set,Education,5,15.99,79.95,2024-01-23,Grace Taylor
TXN010,1009,P009,Gaming Mouse,Electronics,1,69.99,69.99,2024-01-24,Alice Johnson
TXN011,1010,P010,Cooking Pan,Kitchen,1,35.99,35.99,2024-01-25,Henry Lee
TXN012,1002,P011,Jacket,Clothing,1,89.99,89.99,2024-01-26,Iris Chen
TXN013,1011,P012,Tablet,Electronics,1,299.99,299.99,2024-01-27,Alice Johnson
TXN014,1012,P013,Backpack,Travel,1,55.00,55.00,2024-01-28,Jack White
TXN015,1013,P014,Desk Lamp,Office,2,42.50,85.00,2024-01-29,Karen Green
TXN016,1003,P015,Protein Powder,Health,1,49.99,49.99,2024-01-30,Lisa Black
TXN017,1014,P016,Bluetooth Speaker,Electronics,1,119.99,119.99,2024-01-31,Alice Johnson
TXN018,1015,P017,Tennis Racket,Sports,1,149.99,149.99,2024-02-01,Mike Brown
TXN019,1016,P018,Perfume,Beauty,1,75.00,75.00,2024-02-02,Nancy Blue
TXN020,1017,P019,Watch,Accessories,1,199.99,199.99,2024-02-03,Oscar Red
